Treatment,pct,totalevents,video
RAP+,100,9,1
RAP+,69.56521739,23,2
RAP+,90,40,3
RAP+,91.66666667,24,4
RAP+,83.33333333,12,5
RAP+,96,25,6
RAP+,91.66666667,12,7
RAP+,66.66666667,9,8
RAP+,63.63636364,33,9
RAP+,76,50,10
RAP+,76.66666667,30,11
RAP+,72.4137931,29,12
RAP+,79.06976744,43,13
RAP-,25,8,1
RAP-,16.66666667,12,2
RAP-,42.85714286,28,3
RAP-,24.3902439,41,4
RAP-,50,18,5
RAP-,50,18,6
RAP-,26.66666667,15,7
RAP-,10,10,8
RAP-,20,50,9
RAP-,36.11111111,36,10
RAP-,50,10,11
RAP-,26.47058824,34,12
RAP-,38.7755102,49,13